uid,pci,starttime,endtime,duration
1670,237,14:00:1687176028,14:00:1687176028,1
1671,239,14:00:1687176028,14:00:1687176028,0
1672,237,14:00:1687176030,14:00:1687176032,2088
1673,334,14:00:1687176032,14:00:1687176032,0
1674,237,14:00:1687176035,14:00:1687176035,0
1675,334,14:00:1687176035,14:00:1687176035,0
1676,237,14:00:1687176037,14:00:1687176037,0
1677,334,14:00:1687176037,14:00:1687176039,2210
1678,237,14:00:1687176039,14:00:1687176039,0
1679,334,14:00:1687176039,14:00:1687176041,2236
1680,237,14:00:1687176041,14:00:1687176041,0
1681,334,14:00:1687176041,14:00:1687176041,0
1682,142,14:00:1687176041,14:00:1687176041,0
1683,334,14:00:1687176043,14:00:1687176043,0
1684,237,14:00:1687176043,14:00:1687176043,0
1685,334,14:00:1687176043,14:00:1687176043,0
1686,237,14:00:1687176045,14:00:1687176045,0
1687,334,14:00:1687176045,14:00:1687176045,0
1688,237,14:00:1687176045,14:00:1687176045,0
1689,142,14:00:1687176045,14:00:1687176045,0
1690,334,14:00:1687176045,14:00:1687176045,0
1691,237,14:00:1687176048,14:00:1687176050,2205
1692,142,14:00:1687176052,14:00:1687176052,0
1693,237,14:00:1687176052,14:00:1687176052,0
1694,142,14:00:1687176052,14:00:1687176052,0
1695,334,14:00:1687176052,14:00:1687176052,0
1696,237,14:00:1687176054,14:01:1687176067,12853
1697,15,14:01:1687176069,14:01:1687176069,0
1698,237,14:01:1687176069,14:01:1687176069,0
1699,15,14:01:1687176069,14:01:1687176069,0
1700,237,14:01:1687176071,14:01:1687176078,6564
1701,15,14:01:1687176078,14:01:1687176078,0
1702,237,14:01:1687176078,14:01:1687176078,0
1703,15,14:01:1687176078,14:01:1687176078,0
1704,237,14:01:1687176080,14:01:1687176080,0
1705,15,14:01:1687176080,14:01:1687176080,0
1706,237,14:01:1687176082,14:01:1687176087,4370
1707,17,14:01:1687176089,14:01:1687176089,-1
1708,239,14:01:1687176089,14:01:1687176089,0
1709,17,14:01:1687176091,14:01:1687176093,2190
1710,237,14:01:1687176095,14:01:1687176095,0
1711,17,14:01:1687176095,14:01:1687176095,0
1712,237,14:01:1687176095,14:01:1687176095,0
1713,239,14:01:1687176095,14:01:1687176095,0
1714,17,14:01:1687176098,14:01:1687176098,1
1715,237,14:01:1687176098,14:01:1687176098,0
1716,17,14:01:1687176100,14:01:1687176100,0
1717,237,14:01:1687176100,14:01:1687176102,2124
1718,17,14:01:1687176102,14:01:1687176102,0
1719,237,14:01:1687176102,14:01:1687176102,0
1720,17,14:01:1687176104,14:01:1687176104,0
1721,237,14:01:1687176104,14:01:1687176104,0
1722,15,14:01:1687176107,14:01:1687176107,0
1723,237,14:01:1687176107,14:01:1687176107,0
1724,17,14:01:1687176107,14:01:1687176107,0
1725,15,14:01:1687176107,14:01:1687176107,0
1726,237,14:01:1687176107,14:01:1687176109,2264
1727,17,14:01:1687176109,14:01:1687176109,0
1728,237,14:01:1687176109,14:01:1687176111,2169
1729,17,14:01:1687176111,14:01:1687176111,0
1730,237,14:01:1687176111,14:01:1687176111,0
1731,17,14:01:1687176113,14:01:1687176113,0
1732,15,14:01:1687176113,14:01:1687176113,0
1733,17,14:01:1687176113,14:01:1687176113,0
1734,15,14:01:1687176113,14:01:1687176113,0
1735,237,14:01:1687176113,14:01:1687176113,0
1736,17,14:01:1687176115,14:01:1687176115,0
1737,237,14:01:1687176115,14:01:1687176115,0
1738,239,14:01:1687176115,14:01:1687176115,0
1739,237,14:01:1687176118,14:01:1687176118,0
1740,17,14:01:1687176118,14:01:1687176118,0
1741,237,14:01:1687176118,14:01:1687176118,0
1742,239,14:01:1687176118,14:01:1687176118,0
1743,17,14:02:1687176121,14:02:1687176121,0
1744,237,14:02:1687176121,14:02:1687176121,0
1745,17,14:02:1687176126,14:02:1687176126,0
1746,2147483647,14:02:1687176137,14:02:1687176137,0
1747,17,14:02:1687176147,14:02:1687176147,0
1748,237,14:02:1687176147,14:02:1687176147,0
1749,24,14:02:1687176147,14:02:1687176147,0
1750,17,14:02:1687176158,14:02:1687176158,0
1751,237,14:02:1687176158,14:02:1687176158,0
1752,24,14:02:1687176158,14:02:1687176158,0
1753,17,14:02:1687176169,14:02:1687176169,0
1754,237,14:02:1687176169,14:02:1687176169,0
1755,24,14:02:1687176169,14:02:1687176169,0
1756,4,14:02:1687176171,14:02:1687176171,1
1757,142,14:02:1687176174,14:02:1687176174,0
1758,334,14:02:1687176174,14:02:1687176174,0
1759,17,14:02:1687176174,14:02:1687176176,2369
1760,142,14:02:1687176176,14:02:1687176176,0
1761,334,14:02:1687176176,14:02:1687176176,0
1762,17,14:02:1687176176,14:02:1687176176,0
1763,142,14:02:1687176178,14:02:1687176178,0
